CTID_FIVETRAN_ID,ID,CUSTOMER_ID,ORDER_DATE,STATUS,SHIPPING_METHOD,SHIPPING_ADDRESS,SHIPPING_CITY,SHIPPING_STATE,SHIPPING_ZIP,SUBTOTAL,TAX_AMOUNT,SHIPPING_COST,TOTAL_AMOUNT,CREATED_AT,UPDATED_AT,_FIVETRAN_DELETED,_FIVETRAN_SYNCED,WAREHOUSE_ID,DEMO_BATCH_ID
TBD_OR_000100,100,10,2025-03-15 10:00:00.000,delivered,standard,10 Hardware Way,Edison,NJ,08817,189.99,17.10,7.00,214.09,2025-03-15 10:00:00.000,2025-03-15 10:00:00.000,FALSE,2026-05-15 14:57:12.462 -0700,1,DEMO_2026_SCENARIOS
TBD_OR_000200,200,20,2025-05-01 10:00:00.000,delivered,standard,20 Hardware Way,Atlanta,GA,30301,189.99,17.10,7.00,214.09,2025-05-01 10:00:00.000,2025-05-01 10:00:00.000,FALSE,2026-05-15 14:57:12.462 -0700,2,DEMO_2026_SCENARIOS
TBD_OR_000300,300,30,2025-03-05 10:00:00.000,delivered,standard,30 Hardware Way,Indianapolis,IN,46201,34.99,3.15,7.00,45.14,2025-03-05 10:00:00.000,2025-03-05 10:00:00.000,FALSE,2026-05-15 14:57:12.462 -0700,3,DEMO_2026_SCENARIOS
DEMO_OR000001,90001,1,2025-06-02 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-02 00:00:00.000,2025-06-02 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,1,DEMO_2026_SCENARIOS
DEMO_OR000002,90002,2,2025-06-03 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-03 00:00:00.000,2025-06-03 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,2,DEMO_2026_SCENARIOS
DEMO_OR000003,90003,3,2025-06-04 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-04 00:00:00.000,2025-06-04 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,3,DEMO_2026_SCENARIOS
DEMO_OR000004,90004,4,2025-06-05 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-05 00:00:00.000,2025-06-05 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,4,DEMO_2026_SCENARIOS
DEMO_OR000005,90005,5,2025-06-06 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-06 00:00:00.000,2025-06-06 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,5,DEMO_2026_SCENARIOS
DEMO_OR000006,90006,6,2025-06-07 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-07 00:00:00.000,2025-06-07 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,1,DEMO_2026_SCENARIOS
DEMO_OR000007,90007,7,2025-06-08 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-08 00:00:00.000,2025-06-08 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,2,DEMO_2026_SCENARIOS
DEMO_OR000008,90008,8,2025-06-09 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-09 00:00:00.000,2025-06-09 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,3,DEMO_2026_SCENARIOS
DEMO_OR000009,90009,9,2025-06-10 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-10 00:00:00.000,2025-06-10 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,4,DEMO_2026_SCENARIOS
DEMO_OR000010,90010,10,2025-06-11 00:00:00.000,delivered,standard,123 Demo St,Anytown,CA,90001,49.99,4.50,5.99,60.48,2025-06-11 00:00:00.000,2025-06-11 00:00:00.000,FALSE,2026-05-15 14:57:24.594 -0700,5,DEMO_2026_SCENARIOS
