CTID_FIVETRAN_ID,ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,ADDRESS,CITY,STATE,ZIP,REGION,CUSTOMER_TYPE,CREATED_AT,UPDATED_AT,_FIVETRAN_DELETED,_FIVETRAN_SYNCED
TBD_CU_000001,1,John,Smith,john.smith.1@example.com,555-0007,1 Hardware Way,Edison,NJ,08817,Northeast,residential,2025-05-29 00:00:00.000,2025-05-29 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000002,2,Jane,Johnson,jane.johnson.2@example.com,555-0014,2 Hardware Way,Atlanta,GA,30301,Southeast,residential,2025-05-26 00:00:00.000,2025-05-26 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000003,3,Alex,Williams,alex.williams.3@example.com,555-0021,3 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2025-05-23 00:00:00.000,2025-05-23 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000004,4,Chris,Brown,chris.brown.4@example.com,555-0028,4 Hardware Way,Denver,CO,80201,West,residential,2025-05-20 00:00:00.000,2025-05-20 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000005,5,Pat,Jones,pat.jones.5@example.com,555-0035,5 Hardware Way,Dallas,TX,75201,South,residential,2025-05-17 00:00:00.000,2025-05-17 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000006,6,Sam,Garcia,sam.garcia.6@example.com,555-0042,6 Hardware Way,San Jose,CA,95101,West,contractor,2025-05-14 00:00:00.000,2025-05-14 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000007,7,Morgan,Miller,morgan.miller.7@example.com,555-0049,7 Hardware Way,Chicago,IL,60601,Midwest,contractor,2025-05-11 00:00:00.000,2025-05-11 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000008,8,Taylor,Davis,taylor.davis.8@example.com,555-0056,8 Hardware Way,Orlando,FL,32801,Southeast,contractor,2025-05-08 00:00:00.000,2025-05-08 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000009,9,Jordan,Martinez,jordan.martinez.9@example.com,555-0063,9 Hardware Way,Philadelphia,PA,19101,Northeast,business,2025-05-05 00:00:00.000,2025-05-05 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000010,10,Casey,Anderson,casey.anderson.10@example.com,555-0070,10 Hardware Way,Columbus,OH,43201,Midwest,residential,2025-05-02 00:00:00.000,2025-05-02 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000011,11,Drew,Thomas,drew.thomas.11@example.com,555-0077,11 Hardware Way,Edison,NJ,08817,Northeast,residential,2025-04-29 00:00:00.000,2025-04-29 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
